DDD
AAN
ANF
ACIW
AYI
ACXM
ADTN
AAP
AMD
ADVS
ACM
AMG
AGCO
ALK
ALB
ALEX
ARE
ALGN
Y
LNT
ATK
MDRX
ANR
AMCX
ACC
AEO
AFG
ANN
ANSS
AOL
APOL
ATR
WTR
ARW
ASNA
ASH
AHL
ASBC
AF
ATML
ATO
ATW
AVT
BEAV
BXS
BOH
BIG
BBG
BIO
BMR
BKH
BOBE
BRE
EAT
BR
BRO
BC
CAB
CBT
CDNS
CPT
CRR
CSL
CRS
CRI
CATY
CBOE
CRL
CAKE
CHS
CHD
CIEN
XEC
CNK
CYN
CLC
CLH
CNL
CBSH
CMC
CYH
CVLT
CMP
CPWR
CNW
CNQR
CVG
CNVR
COO
CPRT
CLGX
CEB
OFC
CXW
CVD
CR
CREE
CST
CBST
CFR
CY
CYT
DF
DECK
DLX
DV
DKS
DBD
DPZ
UFS
DCI
RRD
DWA
DRC
DRQ
DST
DRE
EXP
EWBC
EV
ENDP
EGN
ENR
EQIX
EQY
ESS
ESL
RE
XLS
EXR
FDS
FICO
FCS
FRT
FII
FNF
FAF
FHN
FNFG
FMER
FLO
FL
FTNT
FBHS
FCN
FULT
AJG
IT
GMT
BGC
GWR
GNTX
GPN
GGG
GVA
GXP
GHL
GEF
GES
GPOR
HAIN
HBHC
HBI
THG
HSC
HE
HCC
HNT
HLX
JKHY
HIW
HRC
HMSY
HNI
HFC
HOLX
HME
HPT
HSNI
HUB.B
JBHT
HII
IDA
IEX
IDXX
INFA
IM
INGR
IDTI
IDCC
ISIL
IBOC
IRF
ISCA
IPI
ITRI
ITT
JNS
JAH
JDSU
JBLU
JW.A
JLL
KATE
KBH
KBR
KMPR
KMT
KRC
KEX
KN
LAMR
LANC
LSTR
LDOS
LII
LXK
LPT
LTM
LPNT
LECO
LKQ
LPX
CLI
MNK
MAN
MANT
MLM
MASI
MATW
MDC
MDU
MD
MENT
MCY
MDP
MTD
MCRS
MAA
MLHR
MTX
MSA
MSM
MSCI
MUSA
NFG
NATI
NNN
NCR
NSR
NYCB
NYT
NEU
NDSN
NVR
OII
ODP
OGE
OIS
ODFL
ORI
OLN
OHI
OCR
OGS
OSK
OMI
PKG
PNRA
PTEN
JCP
PLT
PNM
PII
PLCM
POST
PCH
PRI
PB
PL
PTC
STR
RAX
RJF
RYN
O
RBC
REG
RGA
RS
RNR
RCII
RMD
RFMD
RVBD
RKT
ROL
ROSE
ROVI
RGLD
RPM
SLXP
HSIC
SAIC
SGMS
SMG
SEIC
SMTC
SNH
SXT
SCI
SBNY
SIG
SLGN
SLAB
SIRO
SWKS
SLG
SM
AOS
SWI
SLH
SON
BID
SPW
SFG
STLD
STE
SUNE
SPN
SVU
SIVB
SNPS
SNV
TCO
TCB
TECD
TECH
TFX
TDS
TPX
TER
TEX
BCO
HSH
WEN
THO
THOR
TIBX
TDW
TKR
TOL
TR
TW
TRMB
TRN
TGI
TRMK
TUP
TWTC
UDR
UGI
UA
UNT
UNFI
URI
UTHR
UVV
UHS
URS
UTIW
VLY
VMI
VAL
WOOF
VVC
PAY
VSH
WAB
WDR
WAFD
WCN
WSO
WBS
WRI
WCG
WERN
WABC
WR
WEX
WGL
WWAV
WSM
WWD
INT
WOR
WPX
WRB
ZBRA
